"CommonName","Freq","TotalBirds","TotBirdsPH","MinYear","MaxYear"
"Pileated Woodpecker",31,90,2.8984,1975,2021
"Pine Grosbeak",16,455,16.8401,1971,2020
"Pine Siskin",21,366,11.3918,1971,2021
"Pine Warbler",2,2,0.0705,1984,1992
"Purple Finch",22,152,9.6935,1976,2020
"Purple Sandpiper",45,4173,159.7894,1971,2021
"Razorbill",18,126,4.1325,1971,2021
"Red Crossbill",9,108,6.3318,1972,2019
"Red-bellied Woodpecker",5,8,0.2273,1990,2020
"Red-breasted Merganser",51,2995,108.862,1971,2021
"Red-breasted Nuthatch",51,878,33.8612,1971,2021
"Red-necked Grebe",50,2055,67.5695,1971,2021
"Red-shouldered Hawk",1,1,0.0222,2020,2020
"Red-tailed Hawk",13,16,0.6367,1971,2008
"Red-throated Loon",33,91,3.5234,1971,2021
"Red-winged Blackbird",14,79,2.5535,1971,2021
"Ring-billed Gull",46,1497,47.3237,1973,2021
"Ring-necked Pheasant",2,2,0.0892,1972,1979
"Rock Pigeon",47,2435,89.2006,1974,2021
"Rough-legged Hawk",5,7,0.3866,1978,2017
"Ruby-crowned Kinglet",1,1,0.0667,1971,1971
"Ruffed Grouse",30,96,3.2493,1971,2021
"Rusty Blackbird",5,7,0.2828,1974,2010
"Sharp-shinned Hawk",12,17,0.5652,1971,2017
"Short-eared Owl",1,1,0.0667,1975,1975
"Snow Bunting",9,194,5.9962,1977,2013
"Snow Goose",1,1,0.0204,2003,2003
"Snowy Owl",1,1,0.0385,1994,1994
"Song Sparrow",38,124,4.6517,1971,2021
"Spruce Grouse",3,4,0.094,1982,2019
"Surf Scoter",41,708,24.2906,1971,2020
"Thick-billed Murre",6,20,0.9923,1971,2018
"Tufted Titmouse",9,28,0.8073,1982,2021
"Vesper Sparrow",1,1,0.0325,1982,1982
"White-breasted Nuthatch",29,72,2.6254,1971,2021
"White-crowned Sparrow",2,2,0.0656,1973,2015
"White-throated Sparrow",41,313,12.7935,1971,2021
"White-winged Crossbill",17,980,35.3323,1979,2020
"White-winged Scoter",46,17113,675.4971,1971,2021
"Wild Turkey",13,468,13.0652,2003,2021
"Yellow-rumped Warbler",24,138,4.8643,1979,2019
