"Common name","Scientific name","Order","Family","Resident status"
"Bohemian Waxwing","Bombycilla garrulus","Passeriformes","Bombycillidae (Waxwings)","Non-resident"
"Bonaparte's Gull","Chroicocephalus philadelphia","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Non-resident"
"Brown Creeper","Certhia americana","Passeriformes","Certhiidae (Treecreepers)","Resident"
"Canada Goose","Branta canadensis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Resident"
"Chipping Sparrow","Spizella passerina","Passeriformes","Passerellidae (New World Sparrows)","Resident"
"Common Merganser","Mergus merganser","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Resident"
"Common Redpoll","Acanthis flammea","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Non-resident"
"Dark-eyed Junco","Junco hyemalis","Passeriformes","Passerellidae (New World Sparrows)","Resident"
"Glaucous Gull","Larus hyperboreus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Non-resident"
"Gray Catbird","Dumetella carolinensis","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Non-resident"
"Great Blue Heron","Ardea herodias","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Non-resident"
"Great Horned Owl","Bubo virginianus","Strigiformes","Strigidae (Owls)","Resident"
"Green-winged Teal","Anas crecca","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Hermit Thrush","Catharus guttatus","Passeriformes","Turdidae (Thrushes and Allies)","Non-resident"
"Herring Gull","Larus argentatus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Resident"
"Iceland Gull","Larus glaucoides","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Non-resident"
"Lesser Scaup","Aythya affinis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Northern Goshawk","Accipiter gentilis","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Resident"
"Northern Pintail","Anas acuta","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Northern Shrike","Lanius borealis","Passeriformes","Laniidae (Shrikes)","Non-resident"
"Pacific Loon","Gavia pacifica","Gaviiformes","Gaviidae (Loons)","Non-resident"
"Pine Grosbeak","Pinicola enucleator","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Non-resident"
"Pine Siskin","Spinus pinus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Resident"
"Pine Warbler","Setophaga pinus","Passeriformes","Parulidae (New World Warblers)","Non-resident"
"Red Crossbill","Loxia curvirostra","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Resident"
"Red-breasted Nuthatch","Sitta canadensis","Passeriformes","Sittidae (Nuthatches)","Resident"
"Red-headed Woodpecker","Melanerpes erythrocephalus","Piciformes","Picidae (Woodpeckers)","Non-resident"
"Red-tailed Hawk","Buteo jamaicensis","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Resident"
"Rough-legged Hawk","Buteo lagopus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Non-resident"
"Ruby-crowned Kinglet","Corthylio calendula","Passeriformes","Regulidae (Kinglets)","Non-resident"
"Ruddy Duck","Oxyura jamaicensis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Sharp-shinned Hawk","Accipiter striatus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Resident"
"Snow Bunting","Plectrophenax nivalis","Passeriformes","Calcariidae (Longspurs and Snow Buntings)","Non-resident"
"Snowy Owl","Bubo scandiacus","Strigiformes","Strigidae (Owls)","Non-resident"
"Song Sparrow","Melospiza melodia","Passeriformes","Passerellidae (New World Sparrows)","Resident"
"Spruce Grouse","Canachites canadensis","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Resident"
"Swamp Sparrow","Melospiza georgiana","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"Thick-billed Murre","Uria lomvia","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Non-resident"
"White-breasted Nuthatch","Sitta carolinensis","Passeriformes","Sittidae (Nuthatches)","Resident"
"White-throated Sparrow","Zonotrichia albicollis","Passeriformes","Passerellidae (New World Sparrows)","Resident"
"White-winged Crossbill","Loxia leucoptera","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Resident"
"Wilson's Snipe","Gallinago delicata","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Non-resident"
"Winter Wren","Troglodytes hiemalis","Passeriformes","Troglodytidae (Wrens)","Non-resident"
"Yellow-rumped Warbler","Setophaga coronata","Passeriformes","Parulidae (New World Warblers)","Resident"
"American Pipit","Anthus rubescens","Passeriformes","Motacillidae (Wagtails and Pipits)","Non-resident"
"American Three-toed Woodpecker","Picoides dorsalis","Piciformes","Picidae (Woodpeckers)","Non-resident"
"Atlantic Puffin","Fratercula arctica","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Non-resident"
"Black-and-white Warbler","Mniotilta varia","Passeriformes","Parulidae (New World Warblers)","Non-resident"
"Black-bellied Plover","Pluvialis squatarola","Charadriiformes","Charadriidae (Plovers and Lapwings)","Non-resident"
"Black-throated Sparrow","Amphispiza bilineata","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"Brant","Branta bernicla","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Broad-winged Hawk","Buteo platypterus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Non-resident"
"Carolina Wren","Thryothorus ludovicianus","Passeriformes","Troglodytidae (Wrens)","Non-resident"
"Common Yellowthroat","Geothlypis trichas","Passeriformes","Parulidae (New World Warblers)","Non-resident"
"Dunlin","Calidris alpina","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Non-resident"
"Eastern Bluebird","Sialia sialis","Passeriformes","Turdidae (Thrushes and Allies)","Non-resident"
"Eastern Meadowlark","Sturnella magna","Passeriformes","Icteridae (Troupials and Allies)","Non-resident"
"Eastern Phoebe","Sayornis phoebe","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Non-resident"
"Eurasian Wigeon","Mareca penelope","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Gadwall","Mareca strepera","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Green-tailed Towhee","Pipilo chlorurus","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"Lapland Longspur","Calcarius lapponicus","Passeriformes","Calcariidae (Longspurs and Snow Buntings)","Non-resident"
"Lesser Black-backed Gull","Larus fuscus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Non-resident"
"Merlin","Falco columbarius","Falconiformes","Falconidae (Falcons and Caracaras)","Non-resident"
"Northern Bobwhite","Colinus virginianus","Galliformes","Odontophoridae (New World Quail)","Non-resident"
"Northern Hawk Owl","Surnia ulula","Strigiformes","Strigidae (Owls)","Non-resident"
"Northern Saw-whet Owl","Aegolius acadicus","Strigiformes","Strigidae (Owls)","Non-resident"
"Orange-crowned Warbler","Leiothlypis celata","Passeriformes","Parulidae (New World Warblers)","Non-resident"
"Palm Warbler","Setophaga palmarum","Passeriformes","Parulidae (New World Warblers)","Non-resident"
"Red-shouldered Hawk","Buteo lineatus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Non-resident"
"Redhead","Aythya americana","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Ring-necked Duck","Aythya collaris","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Sanderling","Calidris alba","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Non-resident"
"Short-eared Owl","Asio flammeus","Strigiformes","Strigidae (Owls)","Non-resident"
"Snow Goose","Anser caerulescens","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Townsend's Solitaire","Myadestes townsendi","Passeriformes","Turdidae (Thrushes and Allies)","Non-resident"
"Varied Thrush","Ixoreus naevius","Passeriformes","Turdidae (Thrushes and Allies)","Non-resident"
"Vesper Sparrow","Pooecetes gramineus","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"Yellow-bellied Sapsucker","Sphyrapicus varius","Piciformes","Picidae (Woodpeckers)","Non-resident"
"Yellow-breasted Chat","Icteria virens","Passeriformes","Icteriidae (Yellow-breasted Chat)","Non-resident"
